基金代码,近一年收益率
006966,0.023184190264351014
006965,0.024117796395024094
007456,0.028012915612182582
006824,0.02778468939205448
009617,0.02536522716326864
006829,0.028573932860022754
007582,0.02900444212176649
005838,0.04353335143451899
006434,0.041353700734239114
002920,0.024074074074074105
007014,0.02207260951082328
009721,0.06009507579155077
006516,0.02108382726502957
007015,0.019882940265105974
006076,0.024345506086376433
006825,0.02423781775187921
009087,0.05147913128965957
010810,0.02670516059184396
008820,0.047762557077625584
009219,0.043179765130984704
