基金代码
003816
022547
560960
588950
159637
513910
022125
019040
017354
000789
023018
016574
159591
018651
000160
000627
016846
012559
022783
159302
000644
017171
021123
002733
508007
022837
021432
021819
159322
003473
001175
513630
003267
562300
588100
002709
003244
090005
588210
004904
518880
100017
159830
180103
013876
159671
017021
017278
004968
019965
960040
159638
016079
513970
004589
159695
001529
016036
000855
005196
000076
515190
004399
022115
370010
519566
163416
016922
001391
008931
513180
020240
161623
051106
510810
513360
159619
000659
561500
016271
004849
180302
017273
004186
017713
009713
000710
161020
516860
018914
159808
023136
000700
018313
159992
561360
159743
003874
513730
515550
000705
022067
128005
002302
002253
159667
000681
513380
017906
180101
001697
017952
180701
510230
017085
005162
562010
515760
018205
513020
508096
513170
519879
513130
018837
163408
515630
004869
159813
512160
002192
562890
159801
960035
159872
017714
017380
014403
588030
018652
159301
159863
515700
000665
159672
260102
511030
003365
023170
010628
019496
023017
000464
017360
159558
159688
013920
015557
007961
512750
017032
516560
970117
508000
002890
003164
019462
017983
159869
017334
159312
023079
014009
022249
001909
516750
018353
004286
513090
004699
970161
020756
019247
017343
560850
000882
015651
004749
020757
560560
513160
018305
017228
128001
020827
561900
560650
013510
020249
019246
000158
512050
970083
159540
159858
159006
530880
002917
013192
016907
159636
515330
019659
016222
000300
159680
360003
003994
517120
510760
159305
510950
159933
002343
000905
960022
021638
563880
159717
561780
020910
017281
159630
161006
515260
013927
560080
511980
873001
000618
017349
562860
007522
001894
512890
588400
014822
002231
516900
017117
159788
561980
000797
002012
003753
166014
017355
159847
159755
970171
004039
000704
017674
121011
159683
513820
021406
516350
588290
159865
017229
161654
022116
019769
005190
508001
019456
510980
508078
004796
515360
511670
021447
159747
159329
022548
000662
017377
012604
513660
159709
002957
202028
019475
970164
513230
021169
000786
519518
022082
562950
018675
530280
159750
000162
508048
000785
159673
017411
159770
011491
003034
019757
014022
013481
159866
159612
515780
003253
012830
561550
017844
000856
159864
019995
159590
017385
023041
017350
515310
159656
008878
970158
007661
